,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,yabwe/medium-editor,1.0.1,2013-09-20,,,,,,,,,,,,,,,,,,
1,yabwe/medium-editor,1.0.2,2013-09-24,,,,,,,,,,,,,,,,,,
2,yabwe/medium-editor,1.0.3,2013-09-30,,,,,,,,,,,,,,,,,,
3,yabwe/medium-editor,1.1.0,2013-10-03,,,,,,,,,,,,,,,,,,
4,yabwe/medium-editor,1.1.1,2013-10-04,,,,,,,,,,,,,,,,,,
5,yabwe/medium-editor,1.1.2,2013-10-06,,,,,,,,,,,,,,,,,,
6,yabwe/medium-editor,1.1.3,2013-10-08,,,,,,,,,,,,,,,,,,
7,yabwe/medium-editor,1.1.4,2013-10-13,,,,,,,,,,,,,,,,,,
8,yabwe/medium-editor,1.1.5,2013-10-23,,,,,,,,,,,,,,,,,,
9,yabwe/medium-editor,1.1.6,2013-10-24,,,,,,,,,,,,,,,,,,
10,yabwe/medium-editor,1.2.0,2013-11-06,,,,,,,,,,,,,,,,,,
11,yabwe/medium-editor,1.2.1,2013-11-07,,,,,,,,,,,,,,,,,,
12,yabwe/medium-editor,1.2.2,2013-11-07,,,,,,,,,,,,,,,,,,
13,yabwe/medium-editor,1.3.0,2013-11-18,,,,,,,,,,,,,,,,,,
14,yabwe/medium-editor,1.3.1,2013-11-19,,,,,,,,,,,,,,,,,,
15,yabwe/medium-editor,1.3.5,2013-11-27,,,,,,,,,,,,,,,,,,
16,yabwe/medium-editor,1.4.0,2013-12-13,,,,,,,,,,,,,,,,,,
17,yabwe/medium-editor,1.4.5,2014-01-13,,,,,,,,,,,,,,,,,,
18,yabwe/medium-editor,1.5.0,2014-01-16,,,,,,,,,,,,,,,,,,
19,yabwe/medium-editor,1.5.3,2014-01-22,,,,,,,,,,,,,,,,,,
20,yabwe/medium-editor,1.5.4,2014-02-12,,,,,,,,,,,,,,,,,,
21,yabwe/medium-editor,1.6.0,2014-02-27,,,,,,,,,,,,,,,,,,
22,yabwe/medium-editor,1.6.1,2014-03-04,,,,,,,,,,,,,,,,,,
23,yabwe/medium-editor,1.6.5,2014-03-08,,,,,,,,,,,,,,,,,,
24,yabwe/medium-editor,1.6.7,2014-03-13,,,,,,,,,,,,,,,,,,
25,yabwe/medium-editor,1.7.0,2014-03-22,,,,,,,,,,,,,,,,,,
26,yabwe/medium-editor,1.7.1,2014-03-22,,,,,,,,,,,,,,,,,,
27,yabwe/medium-editor,1.7.3,2014-03-22,,,,,,,,,,,,,,,,,,
28,yabwe/medium-editor,1.7.2,2014-03-22,,,,,,,,,,,,,,,,,,
29,yabwe/medium-editor,1.7.5,2014-03-30,,,,,,,,,,,,,,,,,,
30,yabwe/medium-editor,1.8.0,2014-04-12,,,,,,,,,,,,,,,,,,
31,yabwe/medium-editor,1.8.5,2014-05-01,,,,,,,,,,,,,,,,,,
32,yabwe/medium-editor,1.8.6,2014-05-03,,,,,,,,,,,,,,,,,,
33,yabwe/medium-editor,1.8.8,2014-05-08,,,,,,,,,,,,,,,,,,
34,yabwe/medium-editor,1.8.14,2014-06-11,,,,,,,,,,,,,,,,,,
35,yabwe/medium-editor,1.9.0,2014-08-08,,,,,,,,,,,,,,,,,,
36,yabwe/medium-editor,1.9.4,2014-09-16,,,,,,,,,,,,,,,,,,
37,yabwe/medium-editor,1.9.7,2014-10-20,,,,,,,,,,,,,,,,,,
38,yabwe/medium-editor,1.9.8,2014-10-21,,,,,,,,,,,,,,,,,,
39,yabwe/medium-editor,1.9.10,2014-11-17,,,,,,,,,,,,,,,,,,
40,yabwe/medium-editor,1.9.13,2014-11-24,,,,,,,,,,,,,,,,,,
41,yabwe/medium-editor,2.0.0,2015-01-06,,,,,,,,,,,,,,,,,,
42,yabwe/medium-editor,2.1.0,2015-01-27,,,,,,,,,,,,,,,,,,
43,yabwe/medium-editor,2.1.2,2015-01-30,,,,,,,,,,,,,,,,,,
44,yabwe/medium-editor,2.1.3,2015-01-31,,,,,,,,,,,,,,,,,,
45,yabwe/medium-editor,2.2.0,2015-02-05,,,,,,,,,,,,,,,,,,
46,yabwe/medium-editor,2.3.0,2015-02-11,,,,,,,,,,,,,,,,,,
47,yabwe/medium-editor,2.4.0,2015-02-15,,,,,,,,,,,,,,,,,,
48,yabwe/medium-editor,2.4.1,2015-02-15,,,,,,,,,,,,,,,,,,
49,yabwe/medium-editor,2.4.2,2015-02-15,,,,,,,,,,,,,,,,,,
50,yabwe/medium-editor,2.4.4,2015-02-16,,,,,,,,,,,,,,,,,,
51,yabwe/medium-editor,2.4.3,2015-02-16,,,,,,,,,,,,,,,,,,
52,yabwe/medium-editor,2.4.5,2015-02-17,,,,,,,,,,,,,,,,,,
53,yabwe/medium-editor,2.4.6,2015-02-18,,,,,,,,,,,,,,,,,,
54,yabwe/medium-editor,3.0.0,2015-02-23,,,,,,,,,,,,,,,,,,
55,yabwe/medium-editor,3.0.7,2015-02-26,,,,,,,,,,,,,,,,,,
56,yabwe/medium-editor,3.0.8,2015-02-28,,,,,,,,,,,,,,,,,,
57,yabwe/medium-editor,3.0.9,2015-03-10,,,,,,,,,,,,,,,,,,
58,yabwe/medium-editor,4.0.0,2015-03-23,,,,,,,,,,,,,,,,,,
59,yabwe/medium-editor,4.0.1,2015-03-24,,,,,,,,,,,,,,,,,,
60,yabwe/medium-editor,4.0.2,2015-03-26,,,,,,,,,,,,,,,,,,
61,yabwe/medium-editor,4.0.3,2015-03-27,,,,,,,,,,,,,,,,,,
62,yabwe/medium-editor,4.1.0,2015-03-29,,,,,,,,,,,,,,,,,,
63,yabwe/medium-editor,4.1.1,2015-04-01,,,,,,,,,,,,,,,,,,
64,yabwe/medium-editor,4.2.0,2015-04-05,,,,,,,,,,,,,,,,,,
65,yabwe/medium-editor,4.3.0,2015-04-10,,,,,,,,,,,,,,,,,,
66,yabwe/medium-editor,4.4.0,2015-04-11,,,,,,,,,,,,,,,,,,
67,yabwe/medium-editor,4.5.0,2015-04-13,,,,,,,,,,,,,,,,,,
68,yabwe/medium-editor,4.5.1,2015-04-14,,,,,,,,,,,,,,,,,,
69,yabwe/medium-editor,4.5.2,2015-04-14,,,,,,,,,,,,,,,,,,
