,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,auth0/lock,v1.1.0,2013-11-06,RELEASE,34,23690,,,,,,,,,,,,,,,
1,auth0/lock,v1.1.1,2013-11-06,RELEASE,34,23694,,,,,,,,,,,,,,,
2,auth0/lock,v1.2.0,2013-11-07,RELEASE,52,26137,,,,,,,,,,,,,,,
3,auth0/lock,v1.3.0,2013-11-08,RELEASE,53,28031,,,,,,,,,,,,,,,
4,auth0/lock,v1.3.1,2013-11-08,RELEASE,53,28037,,,,,,,,,,,,,,,
5,auth0/lock,v1.3.2,2013-11-08,RELEASE,54,28058,,,,,,,,,,,,,,,
6,auth0/lock,v1.3.3,2013-11-08,RELEASE,54,28366,,,,,,,,,,,,,,,
7,auth0/lock,v1.3.4,2013-11-08,RELEASE,54,28392,,,,,,,,,,,,,,,
8,auth0/lock,v1.3.5,2013-11-08,RELEASE,54,28428,,,,,,,,,,,,,,,
9,auth0/lock,v1.3.6,2013-11-10,RELEASE,54,28446,,,,,,,,,,,,,,,
10,auth0/lock,v1.3.7,2013-11-11,RELEASE,54,28450,,,,,,,,,,,,,,,
11,auth0/lock,v2.0.0,2013-11-12,RELEASE,60,33012,,,,,,,,,,,,,,,
12,auth0/lock,v2.0.1,2013-11-12,RELEASE,61,33136,,,,,,,,,,,,,,,
13,auth0/lock,v2.0.2,2013-11-13,RELEASE,61,33181,,,,,,,,,,,,,,,
14,auth0/lock,v2.0.3,2013-11-13,RELEASE,62,33217,,,,,,,,,,,,,,,
15,auth0/lock,v2.0.4,2013-11-13,RELEASE,63,33340,,,,,,,,,,,,,,,
16,auth0/lock,v2.0.5,2013-11-13,RELEASE,63,33376,,,,,,,,,,,,,,,
17,auth0/lock,v2.0.7,2013-11-13,RELEASE,63,33388,,,,,,,,,,,,,,,
18,auth0/lock,v2.0.6,2013-11-13,RELEASE,63,33388,,,,,,,,,,,,,,,
19,auth0/lock,v2.0.10,2013-11-14,RELEASE,64,25155,,,,,,,,,,,,,,,
20,auth0/lock,v2.0.11,2013-11-14,RELEASE,64,25332,,,,,,,,,,,1.0,5.0,1.0,4.0,-1.0
21,auth0/lock,v2.0.12,2013-11-14,RELEASE,65,25421,,,,,,,,,,,,,,,
22,auth0/lock,v2.0.13,2013-11-14,RELEASE,65,25477,,,,,,,,,,,,,,,
23,auth0/lock,v2.0.8,2013-11-14,RELEASE,63,33399,,,,,,,,,,,,,,,
24,auth0/lock,v2.0.9,2013-11-14,RELEASE,65,33524,,,,,,,,,,,,,,,
25,auth0/lock,v2.0.14,2013-11-15,RELEASE,66,25512,,,,,,,,,,,,,,,
26,auth0/lock,v2.0.15,2013-11-18,RELEASE,66,25561,,,,,,,,,,,,,,,
27,auth0/lock,v2.1.0,2013-11-19,RELEASE,70,25728,,,,,,,,,,,,,,,
28,auth0/lock,v2.0.16,2013-11-19,RELEASE,70,25728,,,,,,,,,,,,,,,
29,auth0/lock,v2.2.0,2013-11-19,RELEASE,71,25832,,,,,,,,,,,,,,,
30,auth0/lock,v2.2.1,2013-11-19,RELEASE,71,25901,,,,,,,,,,,,,,,
31,auth0/lock,v2.2.7,2013-11-20,RELEASE,71,25850,,,,,,,,,,,,,,,
32,auth0/lock,v2.2.6,2013-11-20,RELEASE,71,25852,,,,,,,,,,,,,,,
33,auth0/lock,v2.2.2,2013-11-20,RELEASE,71,25904,,,,,,,,,,,,,,,
34,auth0/lock,v2.2.3,2013-11-20,RELEASE,71,25905,,,,,,,,,,,,,,,
35,auth0/lock,v2.2.4,2013-11-20,RELEASE,71,25914,,,,,,,,,,,,,,,
36,auth0/lock,v2.2.5,2013-11-20,RELEASE,71,25916,,,,,,,,,,,,,,,
37,auth0/lock,v2.3.0,2013-11-21,RELEASE,71,25882,,,,,,,,,,,,,,,
38,auth0/lock,v2.3.1,2013-11-21,RELEASE,71,25999,,,,,,,,,,,,,,,
39,auth0/lock,v2.3.2,2013-11-26,RELEASE,71,26036,,,,,,,,,,,,,,,
40,auth0/lock,v2.3.3,2013-11-27,RELEASE,71,26045,,,,,,,,,,,,,,,
41,auth0/lock,v2.3.4,2013-11-28,RELEASE,71,26045,,,,,,,,,,,,,,,
42,auth0/lock,v2.3.6,2013-11-28,RELEASE,71,26066,,,,,,,,,,,,,,,
43,auth0/lock,v2.3.5,2013-11-28,RELEASE,71,26066,,,,,,,,,,,,,,,
44,auth0/lock,v2.3.7,2013-12-05,RELEASE,71,26074,,,,,,,,,,,,,,,
45,auth0/lock,v2.3.8,2013-12-12,RELEASE,71,26092,,,,,,,,,,,,,,,
46,auth0/lock,v2.3.9,2013-12-12,RELEASE,71,26097,,,,,,,,,,,,,,,
47,auth0/lock,v2.3.11,2013-12-17,RELEASE,71,26143,,,,,,,,,,,,,,,
48,auth0/lock,v2.3.10,2013-12-17,RELEASE,71,26164,,,,,,,,,,,,,,,
49,auth0/lock,v2.3.12,2013-12-18,RELEASE,71,26152,,,,,,,,,,,,,,,
50,auth0/lock,v2.3.13,2013-12-18,RELEASE,71,26167,,,,,,,,,,,,,,,
51,auth0/lock,v2.3.14,2013-12-19,RELEASE,71,26182,,,,,,,,,,,,,,,
52,auth0/lock,v2.3.15,2013-12-20,RELEASE,71,26182,,,,,,,,,,,,,,,
53,auth0/lock,v2.3.16,2013-12-26,RELEASE,71,26299,,,,,,,,,,,,,,,
54,auth0/lock,v2.3.17,2014-01-03,RELEASE,72,26453,,,,,,,,,,,,,,,
55,auth0/lock,v2.3.18,2014-01-05,RELEASE,72,26465,,,,,,,,,,,,,,,
56,auth0/lock,v2.4.1,2014-01-11,RELEASE,72,26678,,,,,,,,,,,,,,,
57,auth0/lock,v2.4.0,2014-01-11,RELEASE,72,26678,,,,,,,,,,,,,,,
58,auth0/lock,v2.4.2,2014-01-26,RELEASE,72,26925,,,,,,,,,,,,,,,
59,auth0/lock,v2.4.3,2014-01-29,RELEASE,72,26673,,,,,,,,,,,,,,,
60,auth0/lock,v2.4.4,2014-01-30,RELEASE,72,26673,,,,,,,,,,,,,,,
61,auth0/lock,v2.4.5,2014-01-30,RELEASE,72,26676,,,,,,,,,,,,,,,
62,auth0/lock,v2.4.6,2014-02-05,RELEASE,72,26672,,,,,,,,,,,,,,,
63,auth0/lock,v2.4.7,2014-02-05,RELEASE,72,26791,,,,,,,,,,,,,,,
64,auth0/lock,v2.4.9,2014-02-05,RELEASE,72,26802,,,,,,,,,,,,,,,
65,auth0/lock,v2.4.8,2014-02-05,RELEASE,72,26806,,,,,,,,,,,,,,,
66,auth0/lock,v2.4.10,2014-02-06,RELEASE,72,26839,,,,,,,,,,,,,,,
67,auth0/lock,v2.4.11,2014-02-06,RELEASE,72,26842,,,,,,,,,,,,,,,
68,auth0/lock,v2.4.12,2014-02-06,RELEASE,72,27134,,,,,,,,,,,,,,,
69,auth0/lock,v2.4.13,2014-02-10,RELEASE,72,27137,,,,,,,,,,,,,,,
70,auth0/lock,v2.4.15,2014-02-11,RELEASE,72,27090,,,,,,,,,,,,,,,
71,auth0/lock,v2.4.14,2014-02-11,RELEASE,72,27124,,,,,,,,,,,,,,,
72,auth0/lock,v2.4.16,2014-02-11,RELEASE,74,27181,,,,,,,,,,,,,,,
73,auth0/lock,v2.4.17,2014-02-11,RELEASE,74,27196,,,,,,,,,,,,,,,
74,auth0/lock,v2.4.18,2014-02-11,RELEASE,74,27214,,,,,,,,,,,,,,,
75,auth0/lock,v2.4.19,2014-02-12,RELEASE,74,27216,,,,,,,,,,,,,,,
76,auth0/lock,v2.4.20,2014-02-13,RELEASE,74,27207,,,,,,,,,,,,,,,
77,auth0/lock,v2.4.21,2014-02-13,RELEASE,74,27231,,,,,,,,,,,,,,,
78,auth0/lock,v2.4.22,2014-02-17,RELEASE,74,27303,,,,,,,,,,,,,,,
79,auth0/lock,v2.4.23,2014-02-17,RELEASE,74,27333,,,,,,,,,,,,,,,
80,auth0/lock,v2.4.24,2014-02-17,RELEASE,74,27369,,,,,,,,,,,,,,,
81,auth0/lock,v2.4.25,2014-02-18,RELEASE,74,27381,,,,,,,,,,,,,,,
