,Project,Version,Date,Task,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,lodash/lodash,0.2.1,2012-05-24,,,,,,,,,,,,,,,,,,
1,lodash/lodash,0.2.0,2012-05-24,,,,,,,,,,,,,,,,,,
2,lodash/lodash,0.2.2,2012-05-30,,,,,,,,,,,,,,,,,,
3,lodash/lodash,0.3.0,2012-06-06,,,,,,,,,,,,,,,,,,
4,lodash/lodash,0.3.1,2012-06-11,,,,,,,,,,,,,,,,,,
5,lodash/lodash,0.3.2,2012-06-14,,,,,,,,,,,,,,,,,,
6,lodash/lodash,0.4.0,2012-07-11,,,,,,,,,,,,,,,,,,
7,lodash/lodash,0.4.1,2012-07-12,,,,,,,,,,,,,,,,,,
8,lodash/lodash,0.4.2,2012-07-16,,,,,,,,,,,,,,,,,,
9,lodash/lodash,0.5.0,2012-08-18,,,,,,,,,,,,,,,,,,
10,lodash/lodash,0.5.1,2012-08-18,,,,,,,,,,,,,,,,,,
11,lodash/lodash,0.5.2,2012-08-21,,,,,,,,,,,,,,,,,,
12,lodash/lodash,0.6.0,2012-08-28,,,,,,,,,,,,,,,,,,
13,lodash/lodash,0.6.1,2012-08-30,,,,,,,,,,,,,,,,,,
14,lodash/lodash,0.7.0,2012-09-11,,,,,,,,,,,,,,,,,,
15,lodash/lodash,0.8.0,2012-10-01,,,,,,,,,,,,,,,,,,
16,lodash/lodash,0.8.1,2012-10-04,,,,,,,,,,,,,,,,,,
17,lodash/lodash,0.8.2,2012-10-10,,,,,,,,,,,,,,,,,,
18,lodash/lodash,0.9.0,2012-10-24,,,,,,,,,,,,,,,,,,
19,lodash/lodash,0.9.1,2012-10-31,,,,,,,,,,,,,,,,,,
20,lodash/lodash,0.9.2,2012-11-09,,,,,,,,,,,,,,,,,,
21,lodash/lodash,0.10.0,2012-11-18,,,,,,,,,,,,,,,,,,
22,lodash/lodash,1.0.0-rc.1,2012-12-04,,,,,,,,,,,,,,,,,,
23,lodash/lodash,1.0.0-rc.2,2012-12-05,,,,,,,,,,,,,,,,,,
24,lodash/lodash,1.0.0-rc.3,2012-12-17,,,,,,,,,,,,,,,,,,
25,lodash/lodash,1.0.0,2013-02-14,,,,,,,,,,,,,,,,,,
26,lodash/lodash,1.0.2,2013-02-18,,,,,,,,,,,,,,,,,,
27,lodash/lodash,1.0.1,2013-02-18,,,,,,,,,,,,,,,,,,
28,lodash/lodash,1.1.0,2013-03-26,,,,,,,,,,,,,,,,,,
29,lodash/lodash,1.1.1,2013-03-27,,,,,,,,,,,,,,,,,,
30,lodash/lodash,1.2.0,2013-04-16,,,,,,,,,,,,,,,,,,
31,lodash/lodash,1.2.1,2013-04-29,RELEASE,156.0,103359.0,,,,,,,,,,,1.0,38.0,1.0,4.0,-1.0
32,lodash/lodash,1.3.0,2013-06-11,,,,,,,,,,,,,,,,,,
33,lodash/lodash,1.3.1,2013-06-12,RELEASE,156.0,105672.0,,,,,,,,,,,1.0,4.0,6.0,373.0,-1.0
34,lodash/lodash,2.0.0,2013-09-13,RELEASE,140.0,103958.0,,,,,,,,,,,1.0,353.0,7.0,75.0,-1.0
35,lodash/lodash,2.1.0,2013-09-22,,,,,,,,,,,,,,,,,,
36,lodash/lodash,2.2.0,2013-09-29,,,,,,,,,,,,,,,,,,
37,lodash/lodash,2.2.1,2013-10-03,,,,,,,,,,,,,,,,,,
38,lodash/lodash,2.3.0,2013-11-11,,,,,,,,,,,,,,,,,,
39,lodash/lodash,2.4.0,2013-11-25,,,,,,,,,,,,,,,,,,
40,lodash/lodash,2.4.1,2013-12-01,,,,,,,,,,,,,,,,,,
41,lodash/lodash,2.4.2,2013-12-01,,,,,,,,,,,,,,,,,,
42,lodash/lodash,3.0.0,2015-02-04,,,,,,,,,,,,,,,,,,
43,lodash/lodash,3.0.1,2015-02-04,,,,,,,,,,,,,,,,,,
44,lodash/lodash,3.1.0,2015-02-04,,,,,,,,,,,,,,,,,,
45,lodash/lodash,3.2.0,2015-02-12,,,,,,,,,,,,,,,,,,
46,lodash/lodash,3.3.0,2015-02-23,,,,,,,,,,,,,,,,,,
47,lodash/lodash,3.3.1,2015-02-24,,,,,,,,,,,,,,,,,,
48,lodash/lodash,3.4.0,2015-03-06,,,,,,,,,,,,,,,,,,
49,lodash/lodash,3.5.0,2015-03-08,,,,,,,,,,,,,,,,,,
50,lodash/lodash,3.6.0,2015-03-24,,,,,,,,,,,,,,,,,,
51,lodash/lodash,3.7.0,2015-04-17,,,,,,,,,,,,,,,,,,
52,lodash/lodash,3.8.0,2015-05-01,,,,,,,,,,,,,,,,,,
53,lodash/lodash,3.9.0,2015-05-19,,,,,,,,,,,,,,,,,,
54,lodash/lodash,3.9.2,2015-05-24,,,,,,,,,,,,,,,,,,
55,lodash/lodash,3.9.3,2015-05-25,,,,,,,,,,,,,,,,,,
56,lodash/lodash,3.10.0,2015-06-30,,,,,,,,,,,,,,,,,,
57,lodash/lodash,3.10.1,2015-08-03,,,,,,,,,,,,,,,,,,
58,lodash/lodash,4.0.0,2016-01-13,,,,,,,,,,,,,,,,,,
59,lodash/lodash,4.0.1,2016-01-25,,,,,,,,,,,,,,,,,,
60,lodash/lodash,4.1.0,2016-01-29,,,,,,,,,,,,,,,,,,
61,lodash/lodash,4.2.0,2016-02-02,,,,,,,,,,,,,,,,,,
62,lodash/lodash,4.2.1,2016-02-03,,,,,,,,,,,,,,,,,,
63,lodash/lodash,4.3.0,2016-02-08,,,,,,,,,,,,,,,,,,
64,lodash/lodash,4.4.0,2016-02-15,,,,,,,,,,,,,,,,,,
65,lodash/lodash,4.5.0,2016-02-18,,,,,,,,,,,,,,,,,,
66,lodash/lodash,4.5.1,2016-02-21,,,,,,,,,,,,,,,,,,
67,lodash/lodash,4.6.0,2016-03-01,,,,1.0,63.0,1.0,2.0,1.0,1.0,63.0,1.0,2.0,1.0,,,,,
68,lodash/lodash,4.6.1,2016-03-01,,,,,,,,,,,,,,,,,,
69,lodash/lodash,4.7.0,2016-03-31,,,,,,,,,,,,,,,,,,
70,lodash/lodash,4.8.1,2016-04-04,,,,,,,,,,,,,,,,,,
71,lodash/lodash,4.8.0,2016-04-04,,,,,,,,,,,,,,,,,,
72,lodash/lodash,4.8.2,2016-04-04,,,,,,,,,,,,,,,,,,
73,lodash/lodash,4.9.0,2016-04-08,,,,,,,,,,,,,,,,,,
74,lodash/lodash,4.10.0,2016-04-11,,,,,,,,,,,,,,,,,,
75,lodash/lodash,4.11.0,2016-04-13,,,,,,,,,,,,,,,,,,
76,lodash/lodash,4.11.1,2016-04-14,,,,,,,,,,,,,,,,,,
77,lodash/lodash,4.11.2,2016-05-07,,,,,,,,,,,,,,,,,,
78,lodash/lodash,4.12.0,2016-05-08,,,,,,,,,,,,,,,,,,
79,lodash/lodash,4.13.0,2016-05-22,,,,,,,,,,,,,,,,,,
80,lodash/lodash,4.13.1,2016-05-23,,,,,,,,,,,,,,,,,,
81,lodash/lodash,4.14.0,2016-07-29,,,,,,,,,,,,,,,,,,
82,lodash/lodash,4.14.1,2016-07-29,,,,,,,,,,,,,,,,,,
83,lodash/lodash,4.14.2,2016-08-08,,,,,,,,,,,,,,,,,,
84,lodash/lodash,4.15.0,2016-08-12,,,,,,,,,,,,,,,,,,
85,lodash/lodash,4.16.0,2016-09-19,,,,,,,,,,,,,,,,,,
86,lodash/lodash,4.16.1,2016-09-20,,,,,,,,,,,,,,,,,,
87,lodash/lodash,4.16.2,2016-09-25,,,,,,,,,,,,,,,,,,
88,lodash/lodash,4.16.3,2016-10-02,,,,,,,,,,,,,,,,,,
89,lodash/lodash,4.16.4,2016-10-05,,,,,,,,,,,,,,,,,,
90,lodash/lodash,4.16.5,2016-10-30,,,,,,,,,,,,,,,,,,
91,lodash/lodash,4.16.6,2016-10-31,,,,,,,,,,,,,,,,,,
92,lodash/lodash,4.17.0,2016-11-13,,,,,,,,,,,,,,,,,,
93,lodash/lodash,4.17.1,2016-11-14,,,,,,,,,,,,,,,,,,
94,lodash/lodash,4.17.2,2016-11-19,,,,,,,,,,,,,,,,,,
95,lodash/lodash,4.17.3,2016-12-26,,,,,,,,,,,,,,,,,,
96,lodash/lodash,4.17.4,2017-01-06,,,,,,,,,,,,,,,,,,
97,lodash/lodash,3.0.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
98,lodash/lodash,3.0.1-es,2018-02-03,,,,,,,,,,,,,,,,,,
99,lodash/lodash,3.1.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
100,lodash/lodash,3.2.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
101,lodash/lodash,3.3.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
102,lodash/lodash,3.3.1-es,2018-02-03,,,,,,,,,,,,,,,,,,
103,lodash/lodash,3.4.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
104,lodash/lodash,3.5.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
105,lodash/lodash,3.6.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
106,lodash/lodash,3.7.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
107,lodash/lodash,3.9.0-es,2018-02-03,,,,,,,,,,,,,,,,,,
108,lodash/lodash,3.9.2-es,2018-02-03,,,,,,,,,,,,,,,,,,
109,lodash/lodash,3.9.3-es,2018-02-03,,,,,,,,,,,,,,,,,,
