,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,torvalds/linux,v2.6.12-rc2,,RELEASE,17291,6719178,,,,,,,,,,,,,,,
1,torvalds/linux,v2.6.12-rc3,,RELEASE,17317,6738615,,,,,,,,,,,1.0,165.0,1.0,3.0,-1.0
2,torvalds/linux,v2.6.12-rc4,,RELEASE,17349,6756032,,,,,,,,,,,1.0,431.0,1.0,4.0,-1.0
3,torvalds/linux,v2.6.12-rc5,,RELEASE,17361,6759826,,,,,,,,,,,,,,,
4,torvalds/linux,v2.6.12-rc6,,RELEASE,17360,6777141,,,,,,,,,,,,,,,
5,torvalds/linux,v2.6.12,,RELEASE,17360,6777355,,,,,,,,,,,4.0,984.0,4.0,15.0,-1.0
6,torvalds/linux,v2.6.13-rc2,,RELEASE,17740,6882620,,,,,,1.0,225.0,1.0,1.0,1.0,,,,,
7,torvalds/linux,v2.6.13-rc1,,RELEASE,17741,6883748,,,,,,1.0,2242.0,1.0,10.0,1.0,3.0,1163.0,3.0,24.0,-1.0
8,torvalds/linux,v2.6.13-rc3,,RELEASE,17826,6905760,,,,,,,,,,,1.0,272.0,1.0,2.0,-1.0
9,torvalds/linux,v2.6.11-tree,,RELEASE,67330,28164421,,,,,,,,,,,,,,,
10,torvalds/linux,v2.6.13-rc4,2005-07-28,RELEASE,18075,6982255,,,,,,,,,,,,,,,
11,torvalds/linux,v2.6.13-rc5,2005-08-01,RELEASE,18085,6985720,,,,,,,,,,,1.0,37.0,1.0,2.0,-1.0
12,torvalds/linux,v2.6.13-rc6,2005-08-07,RELEASE,18086,6987717,,,,,,,,,,,,,,,
13,torvalds/linux,v2.6.13-rc7,2005-08-23,RELEASE,18090,6988202,,,,,,,,,,,1.0,131.0,,0.0,-1.0
14,torvalds/linux,v2.6.13,2005-08-28,RELEASE,18090,6989142,,,,,,,,,,,,,,,
15,torvalds/linux,v2.6.14-rc1,2005-09-12,RELEASE,18399,7109307,,,,,,,,,,,15.0,1671.0,12.0,105.0,-1.0
16,torvalds/linux,v2.6.14-rc2,2005-09-19,RELEASE,18417,7118250,,,,,,,,,,,,,,,
17,torvalds/linux,v2.6.14-rc3,2005-09-30,RELEASE,18414,7131954,,,,,,,,,,,1.0,390.0,,0.0,-1.0
18,torvalds/linux,v2.6.14-rc4,2005-10-10,RELEASE,18422,7142803,,,,,,,,,,,,,,,
19,torvalds/linux,v2.6.14-rc5,2005-10-19,RELEASE,18433,7142578,,,,,,,,,,,2.0,118.0,,0.0,-1.0
20,torvalds/linux,v2.6.14,2005-10-27,RELEASE,18434,7143490,,,,,,,,,,,,,,,
21,torvalds/linux,v2.6.15-rc1,2005-11-11,RELEASE,18815,7296809,,,,,,1.0,3986.0,1.0,8.0,1.0,28.0,2489.0,14.0,100.0,-1.0
22,torvalds/linux,v2.6.15-rc2,2005-11-19,RELEASE,18811,7289128,,,,,,1.0,531.0,1.0,14.0,1.0,,,,,
23,torvalds/linux,v2.6.15-rc3,2005-11-28,RELEASE,18811,7288941,,,,,,,,,,,1.0,161.0,,0.0,-1.0
24,torvalds/linux,v2.6.15-rc4,2005-11-30,RELEASE,18811,7290118,,,,,,,,,,,,,,,
25,torvalds/linux,v2.6.15-rc5,2005-12-03,RELEASE,18811,7288995,,,,,,4.0,132.0,,0.0,1.0,2.0,72.0,,0.0,-1.0
26,torvalds/linux,v2.6.15-rc6,2005-12-18,RELEASE,18811,7290032,,,,,,,,,,,2.0,165.0,1.0,2.0,-1.0
27,torvalds/linux,v2.6.15-rc7,2005-12-24,RELEASE,18811,7289552,,,,,,,,,,,3.0,41.0,,0.0,-1.0
28,torvalds/linux,v2.6.15,2006-01-02,RELEASE,18811,7290332,,,,,,,,,,,,,,,
29,torvalds/linux,v2.6.16-rc1,2006-01-16,RELEASE,19206,7452552,,,,,,1.0,3352.0,,0.0,1.0,7.0,2033.0,8.0,141.0,-1.0
30,torvalds/linux,v2.6.16-rc2,2006-02-02,RELEASE,19238,7471141,,,,,,1.0,858.0,1.0,1.0,1.0,4.0,368.0,,0.0,-1.0
31,torvalds/linux,v2.6.16-rc3,2006-02-12,RELEASE,19247,7476717,,,,,,,,,,,3.0,336.0,1.0,4.0,-1.0
32,torvalds/linux,v2.6.16-rc4,2006-02-17,RELEASE,19252,7479732,,,,,,,,,,,1.0,124.0,,0.0,-1.0
33,torvalds/linux,v2.6.16-rc5,2006-02-26,RELEASE,19250,7478033,,,,,,1.0,207.0,1.0,1.0,1.0,,,,,
34,torvalds/linux,v2.6.16-rc6,2006-03-11,RELEASE,19250,7479888,,,,,,,,,,,1.0,127.0,,0.0,-1.0
35,torvalds/linux,v2.6.16,2006-03-19,RELEASE,19251,7479609,,,,,,,,,,,,,,,
36,torvalds/linux,v2.6.17-rc1,2006-04-02,RELEASE,19575,7609925,,,,,,,,,,,23.0,2965.0,39.0,688.0,-1.0
37,torvalds/linux,v2.6.17-rc2,2006-04-18,RELEASE,19537,7576692,,,,,,,,,,,1.0,311.0,3.0,43.0,-1.0
38,torvalds/linux,v2.6.17-rc3,2006-04-26,RELEASE,19539,7578535,,,,,,,,,,,,,,,
39,torvalds/linux,v2.6.17-rc4,2006-05-11,RELEASE,19543,7582313,,,,,,,,,,,1.0,267.0,,0.0,-1.0
40,torvalds/linux,v2.6.17-rc5,2006-05-24,RELEASE,19552,7586617,,,,,,,,,,,1.0,107.0,,0.0,-1.0
41,torvalds/linux,v2.6.17-rc6,2006-06-05,RELEASE,19553,7587740,,,,,,,,,,,,,,,
42,torvalds/linux,v2.6.17,2006-06-17,RELEASE,19553,7587681,,,,,,,,,,,,,,,
43,torvalds/linux,v2.6.18-rc1,2006-07-05,RELEASE,20177,7727406,,,,,,2.0,4893.0,,0.0,1.0,32.0,3442.0,20.0,126.0,-1.0
44,torvalds/linux,v2.6.18-rc2,2006-07-15,RELEASE,20179,7735749,,,,,,1.0,539.0,,0.0,1.0,,,,,
45,torvalds/linux,v2.6.18-rc3,2006-07-29,RELEASE,20179,7736343,,,,,,,,,,,,,,,
46,torvalds/linux,v2.6.18-rc4,2006-08-06,RELEASE,20181,7738343,,,,,,,,,,,1.0,157.0,1.0,1.0,-1.0
47,torvalds/linux,v2.6.18-rc5,2006-08-27,RELEASE,20194,7749203,,,,,,,,,,,1.0,271.0,1.0,1.0,-1.0
48,torvalds/linux,v2.6.18-rc6,2006-09-03,RELEASE,20198,7751477,,,,,,,,,,,1.0,117.0,,0.0,-1.0
49,torvalds/linux,v2.6.18-rc7,2006-09-12,RELEASE,20207,7752024,,,,,,,,,,,,,,,
50,torvalds/linux,v2.6.18,2006-09-19,RELEASE,20208,7752709,,,,,,,,,,,,,,,
51,torvalds/linux,v2.6.19-rc1,2006-10-04,RELEASE,20867,7937594,,,,,,3.0,4984.0,5.0,36.0,2.0,6.0,3008.0,13.0,423.0,-1.0
52,torvalds/linux,v2.6.19-rc2,2006-10-13,RELEASE,20922,7965309,,,,,,,,,,,2.0,123.0,1.0,4.0,-1.0
53,torvalds/linux,v2.6.19-rc3,2006-10-23,RELEASE,20926,7973540,,,,,,,,,,,,,,,
54,torvalds/linux,v2.6.19-rc4,2006-10-30,RELEASE,20930,7975511,,,,,,,,,,,1.0,189.0,1.0,12.0,-1.0
55,torvalds/linux,v2.6.19-rc5,2006-11-07,RELEASE,20931,7974727,,,,,,,,,,,,,,,
56,torvalds/linux,v2.6.19-rc6,2006-11-15,RELEASE,20932,7975290,,,,,,,,,,,,,,,
57,torvalds/linux,v2.6.19,2006-11-29,RELEASE,20936,7976075,,,,,,,,,,,2.0,139.0,1.0,15.0,-1.0
58,torvalds/linux,v2.6.20-rc1,2006-12-13,RELEASE,21276,8091441,,,,,,,,,,,5.0,1688.0,3.0,31.0,-1.0
59,torvalds/linux,v2.6.20-rc2,2006-12-23,RELEASE,21275,8093014,,,,,,,,,,,,,,,
60,torvalds/linux,v2.6.20-rc3,2006-12-31,RELEASE,21275,8092750,,,,,,,,,,,,,,,
61,torvalds/linux,v2.6.20-rc4,2007-01-06,RELEASE,21275,8095428,,,,,,,,,,,1.0,144.0,1.0,29.0,-1.0
62,torvalds/linux,v2.6.20-rc5,2007-01-12,RELEASE,21275,8096403,,,,,,2.0,173.0,,0.0,1.0,,,,,
63,torvalds/linux,v2.6.20-rc6,2007-01-24,RELEASE,21279,8101820,,,,,,,,,,,1.0,157.0,1.0,16.0,-1.0
64,torvalds/linux,v2.6.20-rc7,2007-01-30,RELEASE,21280,8102105,,,,,,,,,,,,,,,
65,torvalds/linux,v2.6.20,2007-02-04,RELEASE,21280,8102601,,,,,,,,,,,,,,,
66,torvalds/linux,v2.6.21-rc1,2007-02-20,RELEASE,21605,8237167,,,,,,,,,,,9.0,1665.0,7.0,76.0,-1.0
67,torvalds/linux,v2.6.21-rc2,2007-02-27,RELEASE,21625,8245167,,,,,,,,,,,,,,,
68,torvalds/linux,v2.6.21-rc3,2007-03-06,RELEASE,21620,8245295,,,,,,,,,,,,,,,
69,torvalds/linux,v2.6.21-rc4,2007-03-15,RELEASE,21617,8244918,,,,,,3.0,324.0,,0.0,1.0,2.0,112.0,,0.0,-1.0
70,torvalds/linux,v2.6.21-rc5,2007-03-25,RELEASE,21617,8245578,,,,,,2.0,271.0,,0.0,1.0,,,,,
71,torvalds/linux,v2.6.21-rc6,2007-04-07,RELEASE,21613,8245845,,,,,,,,,,,,,,,
72,torvalds/linux,v2.6.21-rc7,2007-04-15,RELEASE,21614,8245680,,,,,,,,,,,,,,,
73,torvalds/linux,v2.6.21,2007-04-25,RELEASE,21614,8246798,,,,,,,,,,,,,,,
74,torvalds/linux,v2.6.22-rc1,2007-05-12,RELEASE,22371,8457963,,,,,,1.0,4903.0,3.0,36.0,1.0,30.0,4458.0,34.0,673.0,-1.0
75,torvalds/linux,v2.6.22-rc2,2007-05-18,RELEASE,22377,8460181,,,,,,,,,,,1.0,273.0,,0.0,-1.0
76,torvalds/linux,v2.6.22-rc3,2007-05-25,RELEASE,22400,8493173,,,,,,,,,,,2.0,376.0,,0.0,-1.0
77,torvalds/linux,v2.6.22-rc4,2007-06-04,RELEASE,22412,8498248,,,,,,2.0,335.0,,0.0,1.0,,,,,
78,torvalds/linux,v2.6.22-rc5,2007-06-16,RELEASE,22411,8499058,,,,,,,,,,,1.0,327.0,1.0,1.0,-1.0
79,torvalds/linux,v2.6.22-rc6,2007-06-24,RELEASE,22414,8500662,,,,,,1.0,161.0,,0.0,1.0,,,,,
80,torvalds/linux,v2.6.22-rc7,2007-07-01,RELEASE,22414,8500000,,,,,,,,,,,,,,,
81,torvalds/linux,v2.6.22,2007-07-08,RELEASE,22411,8499711,,,,,,,,,,,,,,,
82,torvalds/linux,v2.6.23-rc1,2007-07-22,RELEASE,22727,8560455,,,,,,1.0,4471.0,,0.0,1.0,25.0,3278.0,16.0,194.0,-1.0
83,torvalds/linux,v2.6.23-rc2,2007-08-03,RELEASE,22452,8523583,,,,,,3.0,892.0,,0.0,1.0,,,,,
84,torvalds/linux,v2.6.23-rc3,2007-08-12,RELEASE,22461,8525033,,,,,,6.0,310.0,,0.0,1.0,,,,,
85,torvalds/linux,v2.6.23-rc4,2007-08-27,RELEASE,22473,8523432,,,,,,,,,,,14.0,460.0,1.0,11.0,-1.0
86,torvalds/linux,v2.6.23-rc5,2007-08-31,RELEASE,22473,8521910,,,,,,,,,,,,,,,
87,torvalds/linux,v2.6.23-rc6,2007-09-10,RELEASE,22484,8522107,1.0,94.0,,0.0,1.0,,,,,,,,,,
88,torvalds/linux,v2.6.23-rc7,2007-09-19,RELEASE,22528,8565040,,,,,,2.0,282.0,,0.0,1.0,,,,,
89,torvalds/linux,v2.6.23-rc8,2007-09-24,RELEASE,22528,8566022,,,,,,,,,,,3.0,64.0,,0.0,-1.0
90,torvalds/linux,v2.6.23-rc9,2007-10-01,RELEASE,22528,8565594,,,,,,,,,,,1.0,112.0,,0.0,-1.0
91,torvalds/linux,v2.6.23,2007-10-09,RELEASE,22530,8566911,,,,,,,,,,,,,,,
92,torvalds/linux,v2.6.24-rc1,2007-10-23,RELEASE,23073,8849335,,,,,,2.0,7096.0,2.0,14.0,1.0,29.0,5849.0,30.0,2219.0,-1.0
93,torvalds/linux,v2.6.24-rc2,2007-11-06,RELEASE,23081,8855580,,,,,,,,,,,4.0,490.0,1.0,26.0,-1.0
