,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,fluent/fluentd,v0.9.1,2011-06-26,SUPPORT,41,3469,,,,,,,,,,,,,,,
1,fluent/fluentd,v0.9.2,2011-07-03,SUPPORT,42,3789,,,,,,,,,,,,,,,
2,fluent/fluentd,v0.9.3,2011-07-05,SUPPORT,42,3804,,,,,,,,,,,,,,,
3,fluent/fluentd,v0.9.4,2011-07-22,SUPPORT,43,4115,,,,,,,,,,,,,,,
4,fluent/fluentd,v0.9.5,2011-07-23,SUPPORT,45,4399,,,,,,,,,,,,,,,
5,fluent/fluentd,v0.9.7,2011-08-06,SUPPORT,44,4453,,,,,,,,,,,,,,,
6,fluent/fluentd,v0.9.6,2011-08-06,SUPPORT,45,4590,,,,,,,,,,,,,,,
7,fluent/fluentd,v0.9.8,2011-08-16,SUPPORT,44,4550,,,,,,,,,,,1.0,5.0,1.0,99.0,-1.0
8,fluent/fluentd,v0.9.9,2011-09-06,SUPPORT,44,4559,,,,,,,,,,,,,,,
9,fluent/fluentd,v0.9.10,2011-09-07,SUPPORT,44,4570,,,,,,,,,,,,,,,
10,fluent/fluentd,v0.9.11,2011-09-19,SUPPORT,45,4705,,,,,,,,,,,1.0,5.0,1.0,80.0,-1.0
11,fluent/fluentd,v0.9.12,2011-09-20,SUPPORT,44,4637,,,,,,,,,,,,,,,
12,fluent/fluentd,v0.9.13,2011-09-21,SUPPORT,44,4655,,,,,,,,,,,,,,,
13,fluent/fluentd,v0.9.14,2011-09-21,SUPPORT,44,4720,,,,,,,,,,,,,,,
14,fluent/fluentd,v0.9.15,2011-09-30,SUPPORT,44,4742,,,,,,,,,,,,,,,
