,Project,Version,Date,f0_,T_Module,T_Line,NT_CC,NO_CC,Module_CC,Line_CC,T_CC,NT_EC,NO_EC,Module_EC,Line_EC,T_EC,NT_UC,NO_UC,Module_UC,Line_UC,T_UC
0,jsdom/jsdom,v0.0.1,2010-05-05,SUPPORT,1918,451619,,,,,,,,,,,1.0,8.0,1.0,66.0,-1.0
1,jsdom/jsdom,0.1.1,2010-05-12,SUPPORT,1919,463033,,,,,,,,,,,,,,,
2,jsdom/jsdom,rm,2010-07-23,SUPPORT,1090,297322,,,,,,,,,,,,,,,
3,jsdom/jsdom,0.0.2,2010-07-23,SUPPORT,1090,297322,,,,,,,,,,,1.0,54.0,4.0,27.0,-1.0
4,jsdom/jsdom,0.1.2,2010-07-26,SUPPORT,1090,297322,,,,,,,,,,,,,,,
5,jsdom/jsdom,0.1.4,2010-07-29,SUPPORT,1090,297325,,,,,,,,,,,,,,,
6,jsdom/jsdom,0.1.3,2010-07-29,SUPPORT,1090,297325,,,,,,,,,,,,,,,
7,jsdom/jsdom,0.1.5,2010-07-30,SUPPORT,1091,297378,,,,,,,,,,,,,,,
8,jsdom/jsdom,0.1.6,2010-08-12,SUPPORT,1092,297418,,,,,,,,,,,,,,,
9,jsdom/jsdom,0.1.7,2010-09-08,SUPPORT,1093,297990,,,,,,,,,,,,,,,
10,jsdom/jsdom,0.1.9,2010-09-08,SUPPORT,1093,297991,,,,,,,,,,,,,,,
11,jsdom/jsdom,0.1.8,2010-09-08,SUPPORT,1093,297991,,,,,,,,,,,,,,,
12,jsdom/jsdom,0.1.10,2010-09-14,SUPPORT,383,192445,,,,,,,,,,,,,,,
13,jsdom/jsdom,0.1.11,2010-09-18,SUPPORT,383,192470,,,,,,,,,,,,,,,
14,jsdom/jsdom,0.1.12,2010-09-18,SUPPORT,383,192472,,,,,,,,,,,,,,,
15,jsdom/jsdom,0.1.13,2010-09-18,SUPPORT,383,192502,,,,,,,,,,,,,,,
16,jsdom/jsdom,0.1.14,2010-09-22,SUPPORT,385,194211,,,,,,,,,,,,,,,
17,jsdom/jsdom,0.1.15,2010-10-09,SUPPORT,211,168898,,,,,,,,,,,4.0,77.0,4.0,56.0,-1.0
18,jsdom/jsdom,0.1.16,2010-10-12,SUPPORT,212,168917,,,,,,,,,,,,,,,
19,jsdom/jsdom,0.1.17,2010-10-21,SUPPORT,212,168978,,,,,,,,,,,2.0,36.0,2.0,47.0,-1.0
20,jsdom/jsdom,0.1.18,2010-10-22,SUPPORT,212,168980,,,,,,,,,,,,,,,
21,jsdom/jsdom,0.1.19,2010-10-27,SUPPORT,212,169104,,,,,,,,,,,1.0,28.0,1.0,74.0,-1.0
22,jsdom/jsdom,0.1.20,2010-11-05,SUPPORT,281,171175,,,,,,,,,,,,,,,
23,jsdom/jsdom,0.1.21,2010-12-05,SUPPORT,287,172130,,,,,,,,,,,2.0,93.0,3.0,32.0,-1.0
24,jsdom/jsdom,0.1.22,2010-12-28,SUPPORT,291,180817,,,,,,,,,,,1.0,63.0,1.0,7.0,-1.0
25,jsdom/jsdom,0.1.23,2011-01-03,SUPPORT,291,180846,,,,,,,,,,,,,,,
26,jsdom/jsdom,0.2.0,2011-02-18,SUPPORT,274,174094,,,,,,,,,,,1.0,175.0,3.0,13.0,-1.0
27,jsdom/jsdom,0.2.1,2011-07-21,SUPPORT,294,180947,,,,,,,,,,,3.0,416.0,4.0,128.0,-1.0
28,jsdom/jsdom,0.2.2,2011-08-06,SUPPORT,296,181112,,,,,,,,,,,,,,,
29,jsdom/jsdom,0.2.3,2011-08-08,SUPPORT,296,181112,,,,,,,,,,,,,,,
30,jsdom/jsdom,0.2.4,2011-09-01,SUPPORT,299,181535,,,,,,,,,,,2.0,21.0,3.0,106.0,-1.0
31,jsdom/jsdom,0.2.5,2011-09-25,SUPPORT,305,182097,,,,,,,,,,,3.0,45.0,7.0,242.0,-1.0
32,jsdom/jsdom,0.2.6,2011-10-09,SUPPORT,305,183597,,,,,,,,,,,3.0,27.0,3.0,43.0,-1.0
33,jsdom/jsdom,0.2.7,2011-10-09,SUPPORT,306,183648,,,,,,,,,,,,,,,
34,jsdom/jsdom,0.2.8,2011-10-16,SUPPORT,306,183663,,,,,,,,,,,,,,,
35,jsdom/jsdom,0.2.9,2011-10-30,SUPPORT,308,183773,,,,,,,,,,,1.0,24.0,,0.0,-1.0
36,jsdom/jsdom,0.2.10,2011-11-20,SUPPORT,308,183863,,,,,,,,,,,,,,,
37,jsdom/jsdom,0.2.11,2012-02-23,SUPPORT,310,184468,,,,,,,,,,,,,,,
38,jsdom/jsdom,0.2.12,2012-02-23,SUPPORT,310,184476,,,,,,,,,,,,,,,
39,jsdom/jsdom,0.2.13,2012-02-27,SUPPORT,310,184478,,,,,,,,,,,,,,,
40,jsdom/jsdom,v0.2.13-patch2,2012-04-01,SUPPORT,310,184373,,,,,,,,,,,,,,,
41,jsdom/jsdom,v0.2.13-patch3,2012-04-02,SUPPORT,310,184373,,,,,,,,,,,,,,,
42,jsdom/jsdom,0.2.14,2012-04-12,SUPPORT,312,184577,,,,,,,,,,,,,,,
43,jsdom/jsdom,0.2.14-patch1,2012-04-14,SUPPORT,312,184450,,,,,,,,,,,,,,,
44,jsdom/jsdom,v0.2.14-patch2,2012-05-14,SUPPORT,312,184460,,,,,,,,,,,,,,,
45,jsdom/jsdom,0.2.15,2012-07-12,SUPPORT,313,184689,,,,,,,,,,,2.0,17.0,1.0,3.0,-1.0
46,jsdom/jsdom,0.2.16,2012-10-11,SUPPORT,314,185031,,,,,,,,,,,,,,,
